kor:puppy;강아지
kor:frog|개구리
kor:turtle|꼬북이
kor:kitten|고양이
kor:dinosaur|공룡
kor:sloth|나무늘보
kor:horse|말
kor:goby|망둥어
kor:fish|물고기
kor:snake|뱀
kor:dear|사슴
kor:fox|여우
kor:monkey|원숭이
kor:Jindo-dog|진돗개
kor:koala|코알라
kor:durian|두리안
kor:strawberry|딸기
kor:peach|복숭아
kor:apple|사과
kor:orange|오렌지
kor:pineapple|파인애플
kor:preacher|목사
kor:announcer|아나운서
kor:athlete|운동선수
kor:politician|정치가
kor:professional gamer|프로게이머
kor:hero|히어로
kor:mountaineer|산악인
kor:chef|셰프
kor:teacher|선생님
kor:friendly|친근한
kor:cold-blooded|냉철한
kor:lazy|게으른
kor:cheerful|발랄한
kor:emotional|감성적인
kor:shy|수줍은
title-modifier:친근한|뛰어난 커뮤니케이션 능력을 지닌
title-modifier:냉철한|1퍼센트의 오차도 허용하지 않는
title-modifier:게으른|효율 없이 못사는
title-modifier:발랄한|꿈과 열정으로 가득 찬
title-modifier:감성적인|소설 속 주인공 같은
title-modifier:수줍은|매력이 넘치는
description-modifier:친근한|항상 따뜻하고 친절한 성격을 가지고 있습니다. 그들은 다른 사람들과 소통하고 상호작용하는 것을 즐기며, 타인의 감정에 민감하게 반응합니다. 친근한 사람은 주변 사람들을 편안하게 만들어주고, 사회적인 모임에서 활발하게 참여하며 친구들과의 관계를 소중히 여깁니다.
description-modifier:냉철한|객관적인 판단과 분석력을 갖춘 성격입니다. 그들은 감정적인 편견이나 편애 없이 사물과 상황을 이성적으로 평가하며, 객관적인 판단을 내립니다. 냉철한 사람은 현실적인 문제 해결에 능하며, 그들과 함께 일하면 신뢰성과 실용성이 높은 결정을 할 수 있습니다.
description-modifier:게으른|게으른 사람은 행동보다는 휴식과 편안함을 선호하는 경향이 있습니다. 그들은 노력보다는 효율을 중시하며, 쉬는 시간을 극대화하기 위해 일을 미루기도 합니다. 그러나 게으른 사람들은 창의적인 해결책을 생각하는 능력이 뛰어나며, 압박감이 없는 환경에서는 자신의 업무를 효과적으로 수행할 수 있습니다.
description-modifier:발랄한|발랄한 사람은 에너지와 활기에 넘치는 성격입니다. 그들은 주변 사람들을 웃게 만들고, 긍정적인 분위기를 조성하는 데에 능합니다. 발랄한 사람은 새로운 경험과 모험을 즐기며, 삶의 재미를 찾기 위해 노력합니다. 그들은 주위에 긍정적인 영향력을 행사하며, 동료나 친구들과 함께할 때에는 즐거움과 활력을 전파합니다.
description-modifier:감성적인|예술, 음악, 문학 등의 감성적인 요소에 깊은 관심을 가지고 있습니다. 그들은 감정을 깊이 느끼며, 자신의 감정을 표현하는 것을 좋아합니다. 감성적인 사람들은 예술적인 재능을 발휘하며, 자신의 감정과 타인의 감정에 공감하는 능력을 갖추고 있습니다.
description-modifier:수줍은|타인과의 관계에서 내적인 안정과 조용한 공간을 필요로 합니다. 그들은 사람들과의 대화나 사회적인 상황에서 조금 어색해할 수 있지만, 친밀한 관계를 형성하는 데에는 진심을 다합니다. 수줍은 사람들은 세심한 관찰력과 청취력을 가지고 있으며, 신뢰를 얻으면 매우 충실한 친구나 동료가 될 수 있습니다.
description-modifier:puppy|\"강아지상의 사람은 사랑스럽고 사회성이 뛰어난 사람입니다. 그들은 온화하고 친근한 성격을 지니며, 주변 사람들과의 관계에서 따뜻한 영향력을 행사합니다.\n강아지상의 사람들은 사람들과의 상호작용을 즐깁니다. 그들은 사회적인 모임에서 활발하게 참여하며, 다른 사람들과의 소통과 협업을 중요시합니다. 친절하고 이해심이 많아 다른 사람들에게 쉽게 다가갈 수 있으며, 주위에 긍정적인 분위기를 조성합니다.\n또한, 강아지상의 사람들은 충실하고 신뢰할 수 있는 성격을 가지고 있습니다. 그들은 주어진 일에 대해 책임감을 가지고 끈기 있게 처리하며, 다른 사람들에게 신뢰와 안정감을 줍니다. 그들은 팀 플레이어로서의 역할을 중요시하며, 팀의 목표 달성을 위해 동료들과 협력합니다.\n강아지상의 사람들은 낙천적인 성향을 가지고 있습니다. 어떤 상황에서도 긍정적인 태도를 유지하며, 어려움을 극복하는 데 긍정적인 에너지를 발산합니다. 그들은 겸손하면서도 자신의 성장과 발전에 약간의 열정을 품고 있으며, 지속적인 개인적인 성장을 추구합니다.\n총론적으로, 강아지상의 사람은 사랑스럽고 사회성이 뛰어난 성격을 가진 사람입니다. 그들은 사회적인 상호작용을 즐기며, 친절하고 충실한 성격으로 주변 사람들에게 신뢰와 안정감을 줍니다. 긍정적인 태도와 낙천적인 마인드셋을 통해 어려움을 극복하며, 지속적인 성장을 추구합니다.\"
